,Pressure (Pa),Temperature (K),Speed of sound (m/s),Bernouilli velocity (m/s),Decompression wave speed (m/s),Fluid density (kg/m3),Fluid enthalpy (J/kg)
0,12040000.0,305.14999999678184,420.7628059376484,0.0,420.7628059376484,793.6051646707157,271068.75031615933
1,11940000.0,305.0102952593733,419.481290362276,0.30060283879917477,419.1806875234768,793.0386011706405,270942.6981170508
2,11840000.0,304.87000232700495,418.1904626150515,0.6023504487112237,417.5881121663403,792.4685526977121,270816.5555548695
3,11740000.0,304.72911347745463,416.89007591815744,0.9052585325046136,415.98481738565283,791.8949610988411,270690.321940028
4,11640000.0,304.5876207981696,415.5799537745553,1.2093431791802156,414.37061059537507,791.3177664960385,270563.99657081196
5,11540000.0,304.44551617882627,414.25985850486836,1.514620919080287,412.74523758578806,790.7369072139572,270437.57873302477
6,11440000.0,304.302791303506,412.92954649447455,1.821108739975153,411.1084377544994,790.1523197038267,270311.0676996028
7,11340000.0,304.1594376424648,411.5887708936224,2.12882410172686,409.4599467918955,789.5639384635185,270184.4627302242
8,11240000.0,304.01544644347246,410.2372924588554,2.437784943338436,407.79950751551695,788.9716959535523,270057.7630708945
9,11140000.0,303.87080872269667,408.87485444360334,2.748009709328111,406.1268447342752,788.3755225087907,269930.9679535219
10,11040000.0,303.72551525508175,407.5012140285528,3.0595173530783337,404.4416966754745,787.7753462458063,269804.07659539854
11,10940000.0,303.57955656435314,406.1160481988848,3.3723274128230463,402.7437207860618,787.1710929642351,269677.08819907065
12,10840000.0,303.43292291216756,404.71911037081634,3.6864599689968145,401.0326504018195,786.5626860458225,269550.0019512506
13,10740000.0,303.2856042869872,403.31011951721223,4.001935686678452,399.3081838305338,785.9500463454619,269422.8170225892
14,10640000.0,303.1375903924197,401.88872325114147,4.31877588881903,397.56994736232247,785.3330920758217,269295.53256765136
15,10540000.0,302.98887063445295,400.45465437142525,4.637002508001894,395.81765186342335,784.7117386901349,269168.14772346255
16,10440000.0,302.83943410846626,399.0075836638838,4.956638154206828,394.050945509677,784.0858987543807,269040.6616094146
17,10340000.0,302.68926958549036,397.547172121918,5.277706143178003,392.26946597873996,783.4554818128662,268913.0733270585
18,10240000.0,302.5383654971778,396.0730967004215,5.600230505017199,390.4728661954043,782.8203942514301,268785.381958252
19,10140000.0,302.3867099207673,394.584994489351,5.924236039005853,388.66075845034516,782.1805391453464,268657.5865657542
20,10040000.0,302.2342905625694,393.0825132645586,6.249748328912357,386.83276493564625,781.535816104715,268529.686191879
21,9940000.0,302.0810947407913,391.565279291158,6.5767937858800085,384.988485505278,780.8861211086103,268401.6798578947
22,9840000.0,301.9271093673487,390.03288599779506,6.905399702751841,383.12748629504324,780.2313463301144,268273.56656324654
23,9740000.0,301.772320928648,388.484969651664,7.235594246505898,381.2493754051581,779.5713799511055,268145.3452847431
24,9640000.0,301.61671546528316,386.92108887470926,7.5674065537145,379.3536823209948,778.9061059658995,268017.0149757315
25,9540000.0,301.46027855053086,385.34086628205046,7.900866707792845,377.4399995742576,778.2354039732851,267888.57456511847
26,9440000.0,301.3029952677066,383.7438323035566,8.236005851643657,375.50782645191293,777.5591489545573,267760.02295667527
27,9340000.0,301.14485018598975,382.1295587896821,8.572856187811983,373.55670260187014,776.8772110394921,267631.3590276306
28,9240000.0,300.98582733507385,380.4975785514886,8.911451050299299,371.58612750118925,776.1894552543329,267502.58162801166
29,9140000.0,300.8259101781356,378.8474019914776,9.251824964924628,369.595577026553,775.4957412544429,267373.68957939587
30,9040000.0,300.6650815832109,377.1785618065715,9.594013672123907,367.5845481344476,774.7959230377018,267244.68167374714
31,8940000.0,300.5033237928419,375.4905307641329,9.93805422626702,365.5524765378659,774.0898486366133,267115.55667229916
32,8840000.0,300.34061839166105,373.7827668021447,10.283985058275455,363.49878174386924,773.3773597888339,266986.31330382946
33,8740000.0,300.17694627246124,372.0547356821901,10.631846020326579,361.4228896618635,772.6582915751283,266856.95026477845
34,8640000.0,300.01228759879274,370.3058605243718,10.981678480614525,359.3241820437573,771.9324720410624,266727.4662151332
35,8540000.0,299.84662176661425,368.5355373723514,11.333525408317973,357.20201196403343,771.1997217675685,266597.85977950325
36,8440000.0,299.6799273620762,366.7431256167688,11.687431472445255,355.0556941443235,770.4598534149873,266468.12954426085
37,8340000.0,299.51218211665616,364.92797407100136,12.043443120726984,352.8845309502744,769.7126712174819,266338.2740559821
38,8240000.0,299.3433628588433,363.0893727058494,12.401608710605604,350.6877639952438,768.9579704251317,266208.291819709
39,8140000.0,299.1734454619098,361.22655488472134,12.761978645515335,348.464576239206,768.195536684791,266078.1812969935
40,8040000.0,299.00240478720497,359.3387565031878,13.124605459478772,346.2141510437091,767.4251453488138,265947.94090364827
41,7940000.0,298.8302146225104,357.42508230890564,13.489544043339388,343.93553826556627,766.646560695229,265817.5690079991
42,7840000.0,298.6568476140692,355.48460438508306,13.856851782960364,341.6277526021227,765.8595350493307,265687.06392759905
43,7740000.0,298.48227519209206,353.51628517151687,14.22658878666257,339.2896963848543,765.0638077749813,265556.42392755067
44,7640000.0,298.30646748752133,351.51897725301876,14.59881812738478,336.920159125634,764.2591041209798,265425.64721705264
45,7540000.0,298.12939323906124,349.49144935285864,14.973606072822054,334.5178432800366,763.4451338815338,265294.7319466224
46,7440000.0,297.9510196879645,347.4322500736319,15.351022479130263,332.0812275945016,762.6215898352904,265163.67620443564
47,7340000.0,297.7713124583803,345.33978457053115,15.73114112710622,329.6086434434249,761.788145905448,265032.47801357415
48,7240000.0,297.59023541880117,343.2121746748958,16.114040238316687,327.0981344365791,760.9444549907137,264901.1353260408
49,7140000.0,297.407750521915,341.0473318389222,16.499802945952563,324.54752889296964,760.0901463626018,264769.6460200604
50,7040000.0,297.223817615544,338.8427635040749,16.88851802328028,321.95424548079467,759.2248225486306,264638.0078940069
51,6940000.0,297.038394218398,336.59560057826053,17.28028063578606,319.31531994247445,758.3480555558766,264506.21866078064
52,6840000.0,296.85143525085664,334.3023534413062,17.675193441482666,316.6271599998235,757.4593822709427,264374.27594118763
53,6740000.0,296.66289270852724,331.9590616661573,18.073367601176887,313.88569406498044,756.5582988190031,264242.1772563266
54,6640000.0,296.47271526248517,329.5607810066586,18.474924500915538,311.08585650574304,755.6442536018916,264109.9200187887
55,6540000.0,296.28084776500464,327.1018389751484,18.879997308032376,308.221841667116,754.7166386516735,263977.5015222962
56,6440000.0,296.08723063281315,324.5751012468585,19.288733596333476,305.286367650525,753.7747788229223,263844.9189295759
57,6340000.0,295.89179907054677,321.97217024394166,19.701297965432534,302.2708722785091,752.8179181963886,263712.16925782565
58,6240000.0,295.6944820844058,319.28271375800034,20.117875802612964,299.1648379553874,751.8452028581083,263579.24936128675
59,6140000.0,295.49520121828584,316.49412384551414,20.538677894990713,295.9554459505234,750.8556589310508,263446.15591007395
60,6040000.0,295.2938689197626,313.59103948270325,20.96394620631368,292.6270932763896,749.8481643316045,263312.8853642437
61,5940000.0,294.69622467134303,63.54472692695526,23.118454886021787,40.426272040933476,730.4192901005351,263178.15219690505
62,5840000.0,293.96884100596964,64.55240168549048,25.312562745998605,39.239838939491875,706.0405130672954,263038.89524761826
63,5740000.0,293.23135865605417,65.56455776432493,27.54759477840998,38.01696298591495,682.4127177960147,262894.8234423645
64,5640000.0,292.48353748592467,66.58174710007722,29.824928511344332,36.75681858873289,659.5050630730359,262745.7554753802
65,5540000.0,291.725119878419,67.60401828411914,32.146015479237796,35.45800280488134,637.2884921830914,262591.5004083088
66,5440000.0,290.9558302758517,68.6311133719298,34.512397584064274,34.118715787865526,615.7353438532992,262431.85697814956
67,5340000.0,290.1753746381762,69.66263439361754,36.92571901689978,32.73691537671776,594.8191419880553,262266.6127894836
68,5240000.0,289.3834397907661,70.69817134366336,39.38773473670884,31.310436606954518,574.5145048190586,262095.54340242714
69,5140000.0,288.5796926347745,71.73738836059208,41.900316696501996,29.837071664090082,554.797123730628,261918.4113244478
70,5040000.0,287.76377919629016,72.78007343085477,44.465458918035395,28.314614512819375,535.6437742074073,261734.96490963097
71,4940000.0,286.93532349447617,73.82615623433001,47.085282454132916,26.7408737801971,517.0323332903731,261544.93716392113
72,4840000.0,286.09392621230154,74.87570418958379,49.762041019073074,25.113663170510712,498.94178813625956,261348.04444976675
73,4740000.0,285.2391631557204,75.92890230725709,52.49812795270746,23.430774354549627,481.3522281848007,261143.98507868627
74,4640000.0,284.370583487897,76.98602592137527,55.29608493256667,21.6899409888086,464.2448190394651,260932.43777568123
75,4540000.0,283.48770772424564,78.04740842994505,58.15861282976149,19.888795600183563,447.6017597504752,260713.0599951
76,4440000.0,282.59002547170365,79.11341214002877,61.0885848590007,18.024827281028074,431.40622716332797,260485.48606341006
77,4340000.0,281.6769928918397,80.18440276000517,64.08906218706974,16.095340572935427,415.64231177974875,260249.32512020142
78,4240000.0,280.7480298622054,81.26072826670631,67.16331216848239,14.097416098223917,400.2949495462342,260004.15882444495
79,4140000.0,279.8025168038448,82.34270592507215,70.31482926372745,12.027876661344706,385.3498534450795,259749.53878828397
80,4040000.0,278.83979113501977,83.43061405932318,73.54735885009447,9.883255209228707,370.793447952849,259484.9836952442
81,3940000.0,277.85914330198534,84.52469028155853,76.86492410637098,7.659766175187556,356.6128085278961,259209.9760533457
82,3840000.0,276.8598123268743,85.62513400109258,80.2718562802754,5.353277720817175,342.7956074140938,258923.95852587034
83,3740000.0,275.84098080016116,86.73211111315867,83.77282879248028,2.9592823206783834,329.3300662808517,258626.32977306875
84,3640000.0,274.80176923043155,87.84576289168601,87.37289563317046,0.47286725851554934,316.20491560346153,258316.4397263739
